[2025-10-25 10:22:34] MEDIUM: High packet rate | src=185.199.109.154 rate=53.1 pkt/s
[2025-10-25 10:22:34] MEDIUM: High packet rate | src=185.199.109.154 rate=53.2 pkt/s
[2025-10-25 10:22:34] MEDIUM: High packet rate | src=185.199.109.154 rate=53.2 pkt/s
[2025-10-25 10:22:34] MEDIUM: High packet rate | src=185.199.109.154 rate=53.2 pkt/s
[2025-10-25 10:22:34] MEDIUM: High packet rate | src=185.199.109.154 rate=53.3 pkt/s
[2025-10-25 10:22:34] MEDIUM: High packet rate | src=185.199.109.154 rate=53.3 pkt/s
[2025-10-25 10:22:34] MEDIUM: High packet rate | src=185.199.109.154 rate=53.3 pkt/s
[2025-10-25 10:22:34] MEDIUM: High packet rate | src=185.199.109.154 rate=53.4 pkt/s
[2025-10-25 10:22:34] MEDIUM: High packet rate | src=185.199.109.154 rate=53.4 pkt/s
[2025-10-25 10:22:34] MEDIUM: High packet rate | src=185.199.109.154 rate=53.4 pkt/s
[2025-10-25 10:22:34] MEDIUM: High packet rate | src=185.199.109.154 rate=53.5 pkt/s
[2025-10-25 10:22:34] MEDIUM: High packet rate | src=185.199.109.154 rate=53.5 pkt/s
[2025-10-25 10:22:34] MEDIUM: High packet rate | src=185.199.109.154 rate=53.5 pkt/s
